vce,ic0u5,ic1u0,ic2u0,ic3u0,ic4u0,ic5u0,ic6u0
960.0E-3,387.1E-6,718.6E-6,1.272E-3,1.736E-3,2.145E-3,2.515E-3,2.855E-3
965.0E-3,387.1E-6,718.6E-6,1.272E-3,1.736E-3,2.145E-3,2.515E-3,2.855E-3
970.0E-3,387.1E-6,718.6E-6,1.272E-3,1.736E-3,2.145E-3,2.515E-3,2.855E-3
975.0E-3,387.1E-6,718.6E-6,1.272E-3,1.736E-3,2.145E-3,2.515E-3,2.855E-3
980.0E-3,387.1E-6,718.7E-6,1.272E-3,1.736E-3,2.145E-3,2.515E-3,2.855E-3
985.0E-3,387.1E-6,718.7E-6,1.272E-3,1.736E-3,2.145E-3,2.515E-3,2.855E-3
990.0E-3,387.2E-6,718.7E-6,1.272E-3,1.736E-3,2.145E-3,2.515E-3,2.855E-3
995.0E-3,387.2E-6,718.7E-6,1.272E-3,1.736E-3,2.145E-3,2.515E-3,2.855E-3
1.000,387.2E-6,718.7E-6,1.272E-3,1.736E-3,2.145E-3,2.515E-3,2.855E-3
1.005,387.2E-6,718.7E-6,1.272E-3,1.737E-3,2.145E-3,2.515E-3,2.855E-3
1.010,387.2E-6,718.8E-6,1.272E-3,1.737E-3,2.145E-3,2.515E-3,2.855E-3
1.015,387.3E-6,718.8E-6,1.272E-3,1.737E-3,2.145E-3,2.515E-3,2.855E-3
1.020,387.3E-6,718.8E-6,1.272E-3,1.737E-3,2.145E-3,2.515E-3,2.855E-3
1.025,387.3E-6,718.8E-6,1.272E-3,1.737E-3,2.145E-3,2.515E-3,2.855E-3
1.030,387.3E-6,718.8E-6,1.272E-3,1.737E-3,2.145E-3,2.515E-3,2.855E-3
1.035,387.4E-6,718.9E-6,1.272E-3,1.737E-3,2.145E-3,2.515E-3,2.855E-3
1.040,387.4E-6,718.9E-6,1.272E-3,1.737E-3,2.145E-3,2.515E-3,2.855E-3
1.045,387.4E-6,718.9E-6,1.272E-3,1.737E-3,2.145E-3,2.515E-3,2.855E-3
1.050,387.5E-6,718.9E-6,1.272E-3,1.737E-3,2.145E-3,2.515E-3,2.855E-3
1.055,387.5E-6,719.0E-6,1.272E-3,1.737E-3,2.145E-3,2.515E-3,2.855E-3
1.060,387.5E-6,719.0E-6,1.272E-3,1.737E-3,2.146E-3,2.515E-3,2.855E-3
1.065,387.6E-6,719.0E-6,1.272E-3,1.737E-3,2.146E-3,2.515E-3,2.855E-3
1.070,387.6E-6,719.0E-6,1.272E-3,1.737E-3,2.146E-3,2.515E-3,2.855E-3
1.075,387.7E-6,719.1E-6,1.272E-3,1.737E-3,2.146E-3,2.515E-3,2.855E-3
1.080,387.7E-6,719.1E-6,1.272E-3,1.737E-3,2.146E-3,2.515E-3,2.855E-3
1.085,387.8E-6,719.2E-6,1.272E-3,1.737E-3,2.146E-3,2.515E-3,2.855E-3
1.090,387.9E-6,719.2E-6,1.272E-3,1.737E-3,2.146E-3,2.515E-3,2.855E-3
1.095,387.9E-6,719.2E-6,1.272E-3,1.737E-3,2.146E-3,2.515E-3,2.855E-3
