vce,ic0u5,ic1u0,ic2u0,ic3u0,ic4u0,ic5u0,ic6u0
510.0E-3,379.1E-6,694.5E-6,1.205E-3,1.622E-3,1.980E-3,2.296E-3,2.576E-3
515.0E-3,379.0E-6,694.3E-6,1.205E-3,1.621E-3,1.979E-3,2.294E-3,2.575E-3
520.0E-3,379.0E-6,694.1E-6,1.204E-3,1.620E-3,1.977E-3,2.293E-3,2.574E-3
525.0E-3,378.9E-6,693.9E-6,1.204E-3,1.619E-3,1.976E-3,2.291E-3,2.573E-3
530.0E-3,378.8E-6,693.7E-6,1.203E-3,1.618E-3,1.975E-3,2.290E-3,2.572E-3
535.0E-3,378.8E-6,693.5E-6,1.203E-3,1.617E-3,1.973E-3,2.288E-3,2.571E-3
540.0E-3,378.7E-6,693.3E-6,1.202E-3,1.616E-3,1.972E-3,2.287E-3,2.569E-3
545.0E-3,378.7E-6,693.1E-6,1.202E-3,1.615E-3,1.971E-3,2.285E-3,2.568E-3
550.0E-3,378.6E-6,692.9E-6,1.201E-3,1.614E-3,1.969E-3,2.284E-3,2.566E-3
555.0E-3,378.5E-6,692.7E-6,1.200E-3,1.614E-3,1.968E-3,2.282E-3,2.565E-3
560.0E-3,378.5E-6,692.5E-6,1.200E-3,1.613E-3,1.967E-3,2.280E-3,2.563E-3
565.0E-3,378.4E-6,692.3E-6,1.199E-3,1.612E-3,1.966E-3,2.279E-3,2.561E-3
570.0E-3,378.3E-6,692.1E-6,1.199E-3,1.611E-3,1.964E-3,2.277E-3,2.559E-3
575.0E-3,378.3E-6,691.9E-6,1.198E-3,1.610E-3,1.963E-3,2.275E-3,2.557E-3
580.0E-3,378.2E-6,691.7E-6,1.198E-3,1.609E-3,1.962E-3,2.274E-3,2.555E-3
585.0E-3,378.2E-6,691.5E-6,1.197E-3,1.608E-3,1.960E-3,2.272E-3,2.553E-3
590.0E-3,378.1E-6,691.3E-6,1.197E-3,1.607E-3,1.959E-3,2.270E-3,2.551E-3
595.0E-3,378.0E-6,691.1E-6,1.196E-3,1.606E-3,1.958E-3,2.269E-3,2.550E-3
600.0E-3,378.0E-6,690.9E-6,1.196E-3,1.605E-3,1.956E-3,2.267E-3,2.548E-3
605.0E-3,377.9E-6,690.7E-6,1.195E-3,1.604E-3,1.955E-3,2.266E-3,2.546E-3
610.0E-3,377.9E-6,690.5E-6,1.194E-3,1.603E-3,1.954E-3,2.264E-3,2.544E-3
615.0E-3,377.8E-6,690.3E-6,1.194E-3,1.603E-3,1.953E-3,2.262E-3,2.542E-3
620.0E-3,377.7E-6,690.1E-6,1.193E-3,1.602E-3,1.951E-3,2.261E-3,2.540E-3
625.0E-3,377.7E-6,689.9E-6,1.193E-3,1.601E-3,1.950E-3,2.259E-3,2.538E-3
